delay = 0; mae = 0.0375789
delay = 100; mae = 0.0340863
delay = 200; mae = 0.0334124
delay = 300; mae = 0.0288775
delay = 400; mae = 0.0271066
delay = 500; mae = 0.0278999
delay = 600; mae = 0.0272719
delay = 700; mae = 0.0253254
delay = 800; mae = 0.0257736
delay = 900; mae = 0.0240406
delay = 1000; mae = 0.0234037
delay = 1100; mae = 0.0207699
delay = 1200; mae = 0.0205494
delay = 1300; mae = 0.0209514
delay = 1400; mae = 0.0203705
delay = 1500; mae = 0.0180804
delay = 1600; mae = 0.017891
delay = 1700; mae = 0.015452
delay = 1800; mae = 0.0100357
delay = 1900; mae = 0.0070058
delay = 2000; mae = 0.00818965
delay = 2100; mae = 0.00810293
delay = 2200; mae = 0.00715059
delay = 2300; mae = 0.00467513
delay = 2400; mae = 0.00403097
delay = 2500; mae = 0.00386067
delay = 2600; mae = 0.00393046
delay = 2700; mae = 0.00394245
delay = 2800; mae = 0.003896
delay = 2900; mae = 0.00387765
delay = 3000; mae = 0.00322378
delay = 3100; mae = 0.00322283
delay = 3200; mae = 0.0032091
delay = 3300; mae = 0.000334351
delay = 3400; mae = 0.000154918
delay = 3500; mae = 0.000115914
delay = 3600; mae = 0.000112416
delay = 3700; mae = 3.80019e-05
delay = 3800; mae = 2.56073e-05
delay = 3900; mae = 1.64754e-05
delay = 4000; mae = 1.03713e-05
delay = 4100; mae = 6.30508e-06
delay = 4200; mae = 3.90879e-06
delay = 4300; mae = 2.49461e-06
delay = 4400; mae = 1.51169e-06
delay = 4500; mae = 1.10929e-06
delay = 4600; mae = 5.87503e-07
delay = 4700; mae = 4.60802e-07
delay = 4800; mae = 3.31973e-07
delay = 4900; mae = 1.71373e-07
delay = 5000; mae = 1.48176e-07
